,Conc,T,pH,titrantAmount,deltaCalcite,deltaAnhydrite
265,6.0,100.0,6.0,0.22398211722682193,-2.3661073100811336e-12,3.5082692306787067e-10
266,6.0,100.0,6.999999999999992,-0.0896695118995658,2.3856472353145364e-12,0.0
267,6.0,100.0,8.000000000000004,-0.009196377232594342,-7.815970093361102e-14,-5.329070518200751e-15
268,6.0,100.0,9.0,-0.022800769226618573,-1.7763568394002505e-15,-1.3752554650636739e-11
269,6.0,100.0,10.0,-0.16164287538962258,-1.7763568394002505e-15,-4.956035581926699e-13
270,7.0,20.0,5.999999999988367,0.00913986796996327,0.24397001818748798,0.4386952471604779
271,7.0,20.0,7.0,-0.3599845900525219,2.5269208947520383e-10,-7.815970093361102e-14
272,7.0,20.0,8.0,-0.038997448315932985,-2.6645352591003757e-13,2.8492763703980017e-12
273,7.0,20.0,9.0,-0.00518651375886022,-1.7763568394002505e-15,-1.2225420675804344e-09
274,7.0,20.0,10.0,-0.0022021421965722167,0.0,-7.554845637969265e-12
275,7.0,30.0,6.0,0.3212436279872529,-7.425171588693047e-13,8.363851833337321e-10
276,7.0,30.0,7.0,-0.2843136368006201,1.1617018458309758e-10,-4.440892098500626e-13
277,7.0,30.0,8.000000000000002,-0.030920732847816167,-1.0125233984581428e-13,9.912071163853398e-13
278,7.0,30.0,9.0,-0.004185393958193408,3.552713678800501e-15,-3.108020507625042e-10
279,7.0,30.0,10.0,-0.004099436287421771,0.0,-4.636291350834654e-12
280,7.0,40.0,6.0,0.2635091365447378,6.590283874174929e-13,7.113420963378303e-10
281,7.0,40.0,7.0,-0.23142826887053727,1.2718714970105793e-11,-1.616484723854228e-13
282,7.0,40.0,8.0,-0.0248385695944006,-2.184918912462308e-13,3.1175062531474396e-12
283,7.0,40.0,9.0,-0.003704501175861456,0.0,-1.7533707818984112e-10
284,7.0,40.0,10.0,-0.00803281004308692,0.0,-6.306066779870889e-12
285,7.0,50.0,6.0,0.22433746728655238,9.947598300641403e-14,5.74820191445724e-10
286,7.0,50.0,7.0,-0.19322132571958164,4.780176254826074e-11,-2.403410803708539e-12
287,7.0,50.0,8.0,-0.02020154314938015,-1.7763568394002505e-14,1.184830011879967e-12
288,7.0,50.0,9.000000000000002,-0.003819932769437595,-1.7763568394002505e-15,-7.02460312140829e-11
289,7.0,50.0,10.0,-0.015501971666616798,0.0,3.678835014397919e-12
290,7.0,60.0,6.000000000000001,0.20017492342896953,-2.581046487648564e-12,-4.2366110619695974e-11
291,7.0,60.0,7.000000000000001,-0.16488473558676325,5.3077542361279484e-11,-1.3322676295501878e-13
